dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_100k,pdx-adsampling,3.79687,8.15734,1.10194,0.9998,144,2.1,10,1000,0.2,1,3.975,13.93,1.102,0,3.81569
instructorxl-arxiv-768_100k,pdx-adsampling,3.61696,7.7756,1.01339,0.9998,128,2.1,10,1000,0.2,1,3.783,12.04,1.013,0,3.63128
instructorxl-arxiv-768_100k,pdx-adsampling,3.4346,7.36664,0.907083,0.9998,112,2.1,10,1000,0.2,1,3.587,10.98,0.9071,0,3.44042
instructorxl-arxiv-768_100k,pdx-adsampling,3.21312,6.8868,0.864232,0.9998,96,2.1,10,1000,0.2,1,3.375,12.16,0.8642,0,3.23058
instructorxl-arxiv-768_100k,pdx-adsampling,2.91482,6.16616,0.792962,0.9998,80,2.1,10,1000,0.2,1,3.048,8.804,0.793,0,2.91772
instructorxl-arxiv-768_100k,pdx-adsampling,2.74321,5.76574,0.734664,0.9992,64,2.1,10,1000,0.2,1,2.84,7.177,0.7347,0,2.71095
instructorxl-arxiv-768_100k,pdx-adsampling,2.57057,5.39197,0.654166,0.9988,56,2.1,10,1000,0.2,1,2.645,6.541,0.6542,0,2.52403
instructorxl-arxiv-768_100k,pdx-adsampling,2.38587,4.92616,0.573477,0.9982,48,2.1,10,1000,0.2,1,2.456,5.806,0.5735,0,2.34015
instructorxl-arxiv-768_100k,pdx-adsampling,2.19349,4.46759,0.511641,0.9967,40,2.1,10,1000,0.2,1,2.241,5.277,0.5116,0,2.13011
instructorxl-arxiv-768_100k,pdx-adsampling,1.96865,4.02211,0.439036,0.9945,32,2.1,10,1000,0.2,1,2.003,4.721,0.439,0,1.89591
instructorxl-arxiv-768_100k,pdx-adsampling,1.85068,3.7551,0.383489,0.9922,28,2.1,10,1000,0.2,1,1.872,4.516,0.3835,0,1.76727
instructorxl-arxiv-768_100k,pdx-adsampling,1.78173,3.56998,0.368866,0.9903,26,2.1,10,1000,0.2,1,1.801,4.137,0.3689,0,1.69709
instructorxl-arxiv-768_100k,pdx-adsampling,1.71354,3.42491,0.33803,0.9888,24,2.1,10,1000,0.2,1,1.73,4.027,0.338,0,1.62656
instructorxl-arxiv-768_100k,pdx-adsampling,1.64275,3.25088,0.332953,0.987401,22,2.1,10,1000,0.2,1,1.657,3.787,0.333,0,1.55362
instructorxl-arxiv-768_100k,pdx-adsampling,1.56976,3.0774,0.3167,0.984001,20,2.1,10,1000,0.2,1,1.578,3.716,0.3167,0,1.47639
instructorxl-arxiv-768_100k,pdx-adsampling,1.48524,2.91243,0.298931,0.980601,18,2.1,10,1000,0.2,1,1.496,4.327,0.2989,0,1.39497
instructorxl-arxiv-768_100k,pdx-adsampling,1.39813,2.67079,0.292041,0.975701,16,2.1,10,1000,0.2,1,1.406,3.315,0.292,0,1.3053
instructorxl-arxiv-768_100k,pdx-adsampling,1.30649,2.49726,0.266328,0.970701,14,2.1,10,1000,0.2,1,1.313,2.857,0.2663,0,1.21323
instructorxl-arxiv-768_100k,pdx-adsampling,1.20675,2.26424,0.238247,0.959901,12,2.1,10,1000,0.2,1,1.212,3.124,0.2382,0,1.11312
instructorxl-arxiv-768_100k,pdx-adsampling,1.09674,2.08345,0.228619,0.946201,10,2.1,10,1000,0.2,1,1.099,2.135,0.2286,0,1.00071
instructorxl-arxiv-768_100k,pdx-adsampling,0.97448,1.81967,0.198963,0.924701,8,2.1,10,1000,0.2,1,0.9784,3.021,0.199,0,0.881457
instructorxl-arxiv-768_100k,pdx-adsampling,0.83341,1.44737,0.187444,0.890101,6,2.1,10,1000,0.2,1,0.8356,1.616,0.1829,0,0.739661
instructorxl-arxiv-768_100k,pdx-adsampling,0.661914,1.12864,0.258968,0.821801,4,2.1,10,1000,0.2,1,0.6642,1.363,0.1709,0,0.569255
instructorxl-arxiv-768_100k,pdx-adsampling,0.437564,0.729684,0.142256,0.678,2,2.1,10,1000,0.2,1,0.4413,0.9341,0.1319,0,0.347646
