dataset,method,bit,efsearch,recall,per_query_us
glove-100-angular_100k,ivf,7,10,17727.4,0.74
glove-100-angular_100k,ivf,7,20,11226.9,0.8419
glove-100-angular_100k,ivf,7,30,8421.87,0.894
glove-100-angular_100k,ivf,7,40,6805.37,0.9248
glove-100-angular_100k,ivf,7,50,5738.58,0.9438
glove-100-angular_100k,ivf,7,60,4992.83,0.9578
glove-100-angular_100k,ivf,7,70,4443.23,0.9662
glove-100-angular_100k,ivf,7,80,4020.37,0.9726
glove-100-angular_100k,ivf,7,90,3680.38,0.976
glove-100-angular_100k,ivf,7,100,3408.11,0.9794
glove-100-angular_100k,ivf,7,110,3184.36,0.9816
glove-100-angular_100k,ivf,7,120,2990.04,0.9829
glove-100-angular_100k,ivf,7,130,2829.72,0.9835
glove-100-angular_100k,ivf,7,140,2686.71,0.9841
glove-100-angular_100k,ivf,7,150,2568.4,0.9844
glove-100-angular_100k,ivf,7,160,2459.19,0.9846
glove-100-angular_100k,ivf,7,170,2372.45,0.9846
glove-200-angula_1000k,ivf,7,5,3035.0,0.206785
glove-200-angula_1000k,ivf,7,10,2239.83,0.267843
glove-200-angula_1000k,ivf,7,20,1595.11,0.359681
glove-200-angula_1000k,ivf,7,30,1290.14,0.436132
glove-200-angula_1000k,ivf,7,40,1094.89,0.50411
glove-200-angula_1000k,ivf,7,50,956.937,0.559633
glove-200-angula_1000k,ivf,7,60,853.724,0.607673
glove-200-angula_1000k,ivf,7,70,773.445,0.64818
glove-200-angula_1000k,ivf,7,80,709.152,0.683988
glove-200-angula_1000k,ivf,7,90,656.594,0.712377
glove-200-angula_1000k,ivf,7,100,611.959,0.740129
glove-200-angula_1000k,ivf,7,110,573.411,0.764941
glove-200-angula_1000k,ivf,7,120,540.125,0.787957
glove-200-angula_1000k,ivf,7,130,499.491,0.809273
glove-200-angula_1000k,ivf,7,140,485.642,0.827465
glove-200-angula_1000k,ivf,7,150,440.848,0.84425
glove-200-angula_1000k,ivf,7,160,420.644,0.860229
glove-200-angula_1000k,ivf,7,170,402.653,0.874144
glove-200-angula_1000k,ivf,7,180,403.88,0.886629
glove-200-angula_1000k,ivf,7,190,370.798,0.899744
glove-200-angula_1000k,ivf,7,200,356.914,0.911065
glove-200-angula_1000k,ivf,7,240,309.107,0.943668
glove-200-angula_1000k,ivf,7,280,274.399,0.962265
glove-200-angula_1000k,ivf,7,320,248.26,0.974004
glove-200-angula_1000k,ivf,7,360,232.935,0.980573
glove-200-angula_1000k,ivf,7,400,221.259,0.984019
glove-200-angula_1000k,ivf,7,500,192.327,0.98744
glove-200-angula_1000k,ivf,7,600,166.697,0.987951
glove-200-angula_1000k,ivf,7,700,151.895,0.988066
glove-200-angula_1000k,ivf,7,800,133.793,0.988093
glove-200-angula_1000k,ivf,7,900,135.375,0.988103
glove-200-angular_100k,ivf,7,10,8449.55,0.5296
glove-200-angular_100k,ivf,7,20,5099.62,0.6907
glove-200-angular_100k,ivf,7,30,3752.02,0.7949
glove-200-angular_100k,ivf,7,40,3034.63,0.8635
glove-200-angular_100k,ivf,7,50,2582.7,0.9136
glove-200-angular_100k,ivf,7,60,2279.39,0.9492
glove-200-angular_100k,ivf,7,70,2061.17,0.9697
glove-200-angular_100k,ivf,7,80,1897.88,0.9793
glove-200-angular_100k,ivf,7,90,1781.37,0.9813
glove-200-angular_100k,ivf,7,100,1686.68,0.9821
glove-200-angular_100k,ivf,7,110,1618.73,0.9823
glove-200-angular_100k,ivf,7,120,1570.64,0.9825
glove-200-angular_100k,ivf,7,130,1589.06,0.9825
glove-200-angular_10k,ivf,7,10,22948.5,0.6494
glove-200-angular_10k,ivf,7,20,16053.5,0.8756
glove-200-angular_10k,ivf,7,30,13331.1,0.9729
glove-200-angular_10k,ivf,7,40,12042.9,0.9903
glove-200-angular_10k,ivf,7,50,11734.4,0.9904
glove-200-angular_10k,ivf,7,60,11498.4,0.9904
glove-200-angular_1k,ivf,7,10,46766.6,0.9935
glove-200-angular_1k,ivf,7,20,43160.1,0.9936
glove-200-angular_1k,ivf,7,30,40233.4,0.9936
glove-25-angular_100k,ivf,7,10,28965.9,0.9004
glove-25-angular_100k,ivf,7,20,18569.2,0.9553
glove-25-angular_100k,ivf,7,30,14071.0,0.9706
glove-25-angular_100k,ivf,7,40,11492.9,0.9782
glove-25-angular_100k,ivf,7,50,9786.67,0.9815
glove-25-angular_100k,ivf,7,60,8568.48,0.9836
glove-25-angular_100k,ivf,7,70,7656.24,0.9847
glove-25-angular_100k,ivf,7,80,6946.65,0.9854
glove-25-angular_100k,ivf,7,90,6370.07,0.9859
glove-25-angular_100k,ivf,7,100,5896.96,0.9862
glove-25-angular_100k,ivf,7,110,5496.19,0.9863
glove-25-angular_100k,ivf,7,120,5152.97,0.9863
glove-50-angular_100k,ivf,7,10,27785.7,0.8227
glove-50-angular_100k,ivf,7,20,17684.2,0.9046
glove-50-angular_100k,ivf,7,30,13305.0,0.9371
glove-50-angular_100k,ivf,7,40,10793.8,0.9549
glove-50-angular_100k,ivf,7,50,9206.16,0.9656
glove-50-angular_100k,ivf,7,60,8044.99,0.9712
glove-50-angular_100k,ivf,7,70,7178.29,0.9751
glove-50-angular_100k,ivf,7,80,6512.02,0.9777
glove-50-angular_100k,ivf,7,90,5971.92,0.9802
glove-50-angular_100k,ivf,7,100,5527.87,0.9821
glove-50-angular_100k,ivf,7,110,5152.2,0.9828
glove-50-angular_100k,ivf,7,120,4844.22,0.9833
glove-50-angular_100k,ivf,7,130,4573.22,0.9839
glove-50-angular_100k,ivf,7,140,4343.33,0.9841
glove-50-angular_100k,ivf,7,150,4139.97,0.9842
glove-50-angular_100k,ivf,7,160,3959.86,0.9845
glove-50-angular_100k,ivf,7,170,3797.76,0.9845
